sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR9953577,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs_h_pm1_3,e11-2,e11-2-0
SRR9953585,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs_h_m1_c_1,e11-3-0,
SRR9953586,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs_h_m1_c_2,e11-3-0,
SRR9953587,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs_h_m1_c_3,e11-3-0,
SRR9953594,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs_h_m1_1,e11-3,e11-3-0
SRR9953581,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs_h_m1_2,e11-3,e11-3-0
SRR9953582,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs_h_m1_3,e11-3,e11-3-0
SRR2939221,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,none,0h,control,heinz_h_c_1,e12-1-0,
SRR2939222,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,none,0h,control,heinz_h_c_2,e12-1-0,
SRR2939223,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,none,0h,control,heinz_h_c_3,e12-1-0,
SRR2939224,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,heat,12h,low,heinz_h_1,e12-1,e12-1-0
SRR2939225,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,heat,12h,low,heinz_h_2,e12-1,e12-1-0
SRR2939226,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,heat,12h,low,heinz_h_3,e12-1,e12-1-0
SRR2939227,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,none,0h,control,sm_h_c_1,e12-2-0,
SRR2939228,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,none,0h,control,sm_h_c_2,e12-2-0,
SRR2939229,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,none,0h,control,sm_h_c_3,e12-2-0,
