"","e1-1","e1-2","e1-3","e1-4","e1-5","e2-1","e2-2","e2-3","e3-1","e4-1","e4-2","e4-3","e5-1","e5-2","e6-1","e6-2","e6-3","e6-4","e7-1","e8-1","e8-2","e9-1","e10-2","e11-1","e11-2","e11-3","e12-1","e12-2","e12-3","e14-1","e14-2","e14-3","e15-1","e15-2","e15-3","e15-4","e15-5","e17-1","e17-2","e18-1","e19-1","e19-2","e19-3","e19-4","e19-5","e19-6"
"Solyc01g057000.3.1",5.25538968933132,5.08750162130432,7.72461467991556,9.55267378172558,5.99020073722193,0,7.97725988888346,0,0,0,0,0,0,0,3.4488882055004,0,2.453066163441,3.20405340063368,3.4488882055004,2.34045588605635,2.01173179327831,0,3.98576387829914,0,0,0,0,0,0,0,0,0,5.25538968933132,5.08750162130432,7.72461467991556,9.55267378172558,5.99020073722193,-2.52877247371976,0,1.19010228812803,0,0,0,0,0,0
"Solyc01g057770.3.1",-1.3426201441293,0,-1.40267763642643,-3.83523031089519,-1.57725307948784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53177613167528,-2.54930377914775,0,0,0,0,-1.3426201441293,0,-1.40267763642643,-3.83523031089519,-1.57725307948784,-2.21744709521206,-1.49283952501039,0,0,0,0,0,0,0
"Solyc01g057780.3.1",1.25726785840139,1.2875933408879,2.13939975053968,3.33924961447752,0,0,2.31124665268716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16153361050261,0,0,0,0,0,0,0,0,0,1.25726785840139,1.2875933408879,2.13939975053968,3.33924961447752,0,2.5272042873596,0,0,0,0,0,0,0,0
"Solyc01g058160.3.1",1.11297584082643,0,0,2.48798349354555,0,0,2.16503124986095,0,0,0,0,0,2.27261484850559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11297584082643,0,0,2.48798349354555,0,2.9355359821561,1.68846783956203,0,0,0,0,0,0,0
"Solyc01g060010.3.1",-4.66453505441424,-4.52107765043227,0,-6.58455346155973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.66453505441424,-4.52107765043227,0,-6.58455346155973,0,0,0,0,0,0,0,0,0,0
"Solyc01g060130.3.1",2.52896801171958,2.50745164803478,3.33915712108972,1.26987542686801,0,0,-3.31116394064719,0,0,0,0,0,1.47330066777355,2.52055270018268,1.29007315542511,0,1.39817307292994,1.65502263364141,1.29007315542511,0,0,0,1.85561667657094,0,0,0,0,0,0,0,0,0,2.52896801171958,2.50745164803478,3.33915712108972,1.26987542686801,0,-1.33650741538024,1.52894883297198,0,0,0,0,0,0,0
"Solyc01g066060.4.1",1.58405862413822,1.96286076297607,2.01624913112724,1.67570993600433,1.68454711212701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04367693568579,0,0,0,0,0,0,0,0,0,1.58405862413822,1.96286076297607,2.01624913112724,1.67570993600433,1.68454711212701,0,0,0,0,0,0,0,0,0
"Solyc01g066100.3.1",3.8485504260069,4.68380860132223,5.23229412321761,6.07964871064655,0,0,12.1695558475433,0,0,0,7.44028645182917,0,13.8104188699341,5.64747633447146,0,0,0,0,0,0,0,0,6.70383981727693,0,6.17919467764377,0,0,0,0,0,0,0,3.8485504260069,4.68380860132223,5.23229412321761,6.07964871064655,0,6.54937492344792,0,0,0,0,0,0,0,0
"Solyc01g066680.3.1",-1.82975389871726,-1.49253394868615,-1.60888431116601,-2.54407027699216,0,0,-5.92637950069548,0,0,0,0,0,0,0,0,-1.05815516716513,0,0,0,0,0,0,-1.70866698107355,0,0,0,0,0,0,0,0,0,-1.82975389871726,-1.49253394868615,-1.60888431116601,-2.54407027699216,0,0,0,0,0,0,0,0,0,0
"Solyc01g067295.1.1",-1.37430260446831,0,0,-1.45687296736705,0,0,-1.40595161100091,0,0,0,0,0,0,0,0,0,-2.72751492889564,-2.18348934742959,0,0,0,0,-1.56833801421443,0,0,0,0,0,0,0,0,0,-1.37430260446831,0,0,-1.45687296736705,0,0,0,0,0,0,0,0,0,0
"Solyc01g067460.4.1",2.30373707084996,0,2.6898611388285,5.15801575457383,0,0,3.42982843138188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54836455604778,0,0,0,-3.00934469728067,0,0,0,0,0,2.30373707084996,0,2.6898611388285,5.15801575457383,0,0,0,0,0,0,0,0,0,0
"Solyc01g067830.3.1",1.87960596174096,1.17802690044085,1.9598454824556,2.82544699169612,0,0,1.59480302164818,0,0,0,1.84559570830864,2.04795831043097,1.8889495180314,1.39269651473945,2.2984167703905,0,1.71490787851524,0,2.2984167703905,0,0,0,1.66854297283252,0,1.86812342502913,2.36287843737912,0,0,0,0,0,0,1.87960596174096,1.17802690044085,1.9598454824556,2.82544699169612,0,0,0,0,0,0,0,0,0,0
"Solyc01g068075.1.1",1.74144644497074,0,0,0,2.46356758230762,0,0,0,0,0,0,0,-1.12590470535135,-4.86425560919478,0,0,0,0,0,0,0,3.38108536699583,0,0,0,0,0,0,0,0,0,0,1.74144644497074,0,0,0,2.46356758230762,0,0,0,0,0,0,0,0,0
"Solyc01g073750.4.1",-1.13156967512463,-1.45711471813993,-1.7833039850821,-1.42483917362893,-1.04190250896386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.13156967512463,-1.45711471813993,-1.7833039850821,-1.42483917362893,-1.04190250896386,0,0,0,0,0,0,0,0,0
