sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR11829560,paired,,,p15,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82-15-0.1,e15-0,
SRR11829559,paired,,,p15,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82-15-0.2,e15-0,
SRR11829558,paired,,,p15,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82-15-0.3,e15-0,
SRR11829557,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82-15-1.1,e15-1,e15-0
SRR11829556,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82-15-1.2,e15-1,e15-0
SRR11829555,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82-15-1.3,e15-1,e15-0
SRR11829554,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82-15-2.1,e15-2,e15-0
SRR11829553,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82-15-2.2,e15-2,e15-0
SRR11829552,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82-15-2.3,e15-2,e15-0
SRR11829550,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82-15-3.1,e15-3,e15-0
SRR11829549,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82-15-3.2,e15-3,e15-0
SRR11829548,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82-15-3.3,e15-3,e15-0
SRR11829547,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82-15-4.1,e15-4,e15-0
SRR11829546,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82-15-4.2,e15-4,e15-0
SRR11829545,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82-15-4.3,e15-4,e15-0
SRR11829544,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82-15-5.1,e15-5,e15-0
SRR11829543,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82-15-5.2,e15-5,e15-0
SRR11829542,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82-15-5.3,e15-5,e15-0
SRR10998570,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,a-17-1-0.1,e17-1-0,
SRR10998569,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,a-17-1-0.2,e17-1-0,
SRR10998566,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,a-17-1-0.3,e17-1-0,
SRR10998565,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,a-17-1.1,e17-1,e17-1-0
SRR10998564,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,a-17-1.2,e17-1,e17-1-0
SRR10998563,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,a-17-1.3,e17-1,e17-1-0
SRR10998562,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,a-17-2-0.1,e17-2-0,
SRR10998561,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,a-17-2-0.2,e17-2-0,
SRR10998560,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,a-17-2-0.3,e17-2-0,
SRR10998559,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,a-17-2.1,e17-2,e17-2-0
